epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77059,1.0629,2.81691,1.46877,0.82766,0.84294,0.91947,0.74007,1.15817,0.67934,1.12461,0,0,0
2,20.7825,1.52968,3.73183,1.88147,0.84393,0.83375,0.92365,0.75342,1.15031,0.68599,1.12273,1.17822e-06,1.17822e-06,1.17822e-06
3,34.9384,0.90291,1.89705,1.3771,0.85554,0.83072,0.9246,0.75681,1.13868,0.69557,1.11799,2.33288e-06,2.33288e-06,2.33288e-06
4,49.0974,1.50637,2.21897,1.9258,0.86315,0.82964,0.92461,0.75521,1.11216,0.68424,1.10867,3.46397e-06,3.46397e-06,3.46397e-06
5,59.2088,0.98253,2.57218,1.48862,0.86315,0.82964,0.92461,0.75521,1.11216,0.68424,1.10867,4.5715e-06,4.5715e-06,4.5715e-06
6,69.2241,1.1564,2.86842,1.52091,0.84496,0.84249,0.91902,0.75092,1.11375,0.67713,1.11268,5.65548e-06,5.65548e-06,5.65548e-06
7,79.3574,0.81484,1.29913,1.19834,0.84496,0.84249,0.91902,0.75092,1.11375,0.67713,1.11268,6.71588e-06,6.71588e-06,6.71588e-06
8,89.717,0.82108,2.49491,1.39484,0.81543,0.85632,0.91204,0.74624,1.12169,0.69134,1.11824,7.75273e-06,7.75273e-06,7.75273e-06
9,99.8082,1.12428,1.8105,1.55521,0.81543,0.85632,0.91204,0.74624,1.12169,0.69134,1.11824,8.76602e-06,8.76602e-06,8.76602e-06
10,110.049,1.0595,3.62263,1.5214,0.79301,0.8828,0.90635,0.74749,1.11996,0.70972,1.12243,9.75574e-06,9.75574e-06,9.75574e-06
11,120.059,1.19087,1.27109,1.65899,0.79301,0.8828,0.90635,0.74749,1.11996,0.70972,1.12243,1.07219e-05,1.07219e-05,1.07219e-05
12,130.239,1.22212,1.26054,1.8741,0.79301,0.8828,0.90635,0.74749,1.11996,0.70972,1.12243,1.16645e-05,1.16645e-05,1.16645e-05
13,140.464,0.6851,0.96589,1.38793,0.81458,0.8622,0.89413,0.74912,1.14897,0.74161,1.13953,1.25835e-05,1.25835e-05,1.25835e-05
14,150.627,0.67651,0.85725,1.24949,0.81458,0.8622,0.89413,0.74912,1.14897,0.74161,1.13953,1.3479e-05,1.3479e-05,1.3479e-05
15,160.599,0.97776,1.63743,1.50044,0.81458,0.8622,0.89413,0.74912,1.14897,0.74161,1.13953,1.43509e-05,1.43509e-05,1.43509e-05
16,170.846,0.79726,1.33211,1.23356,0.84379,0.84488,0.8896,0.73903,1.15186,0.75112,1.14996,1.51993e-05,1.51993e-05,1.51993e-05
17,180.979,0.73778,1.4146,1.30785,0.84379,0.84488,0.8896,0.73903,1.15186,0.75112,1.14996,1.60241e-05,1.60241e-05,1.60241e-05
18,191.228,0.73999,1.58599,1.39407,0.84379,0.84488,0.8896,0.73903,1.15186,0.75112,1.14996,1.68253e-05,1.68253e-05,1.68253e-05
19,201.386,1.01393,1.48737,1.33862,0.84379,0.84488,0.8896,0.73903,1.15186,0.75112,1.14996,1.7603e-05,1.7603e-05,1.7603e-05
20,211.918,0.89149,1.64136,1.26575,0.86267,0.86667,0.88603,0.73096,1.17198,0.78342,1.1735,1.83571e-05,1.83571e-05,1.83571e-05
21,222.163,0.73944,1.06231,1.31974,0.86267,0.86667,0.88603,0.73096,1.17198,0.78342,1.1735,1.90876e-05,1.90876e-05,1.90876e-05
22,232.443,0.84798,1.17368,1.37402,0.86267,0.86667,0.88603,0.73096,1.17198,0.78342,1.1735,1.97946e-05,1.97946e-05,1.97946e-05
23,242.54,0.79582,1.31383,1.28375,0.86267,0.86667,0.88603,0.73096,1.17198,0.78342,1.1735,2.0478e-05,2.0478e-05,2.0478e-05
1,108.945,3.77754,5.25769,1.87183,0.03345,0.25,0.02927,0.00422,4.0714,10.3178,1.79946,0.000545182,0.000545182,0.000545182
2,223.076,3.40214,4.7294,1.6185,0.00421,0.0625,0.0018,0.00023,4.28164,6.94365,1.75888,0.00107905,0.00107905,0.00107905
3,334.501,3.34307,9.0675,1.69041,0,0,0,0,4.678,85.2132,1.98675,0.00159092,0.00159092,0.00159092
4,445.495,3.27013,4.40294,1.72466,0.50822,0.16463,0.00601,0.00112,3.64917,3.71174,1.79948,0.00156798,0.00156798,0.00156798
5,555.639,3.48217,3.57357,1.82331,0.00278,0.44207,0.03516,0.00552,3.62565,4.00266,1.9002,0.00153497,0.00153497,0.00153497
6,669.778,3.08926,3.74056,1.5966,0.00423,0.5,0.09849,0.01626,4.29642,4.19694,1.51703,0.00150197,0.00150197,0.00150197
7,783.85,3.06209,3.00442,1.65894,0.42518,0.0625,0.08142,0.02569,5.01437,24.2684,3.05196,0.00146896,0.00146896,0.00146896
8,898.844,2.95691,2.58677,1.42412,0.06374,0.125,0.09444,0.02626,3.99979,9.51017,1.84798,0.00143595,0.00143595,0.00143595
9,1013.32,2.98423,2.55731,1.29196,0.81934,0.5,0.42,0.16327,4.01783,8.10538,3.74136,0.00140295,0.00140295,0.00140295
10,1127.55,2.97566,2.71741,1.43523,0.57445,0.0625,0.07262,0.04038,3.45629,6.16668,1.49513,0.00136994,0.00136994,0.00136994
11,1237.72,2.89275,2.52687,1.37676,0.7164,0.28759,0.16514,0.05839,3.29478,2.29241,1.45839,0.00133693,0.00133693,0.00133693
12,1348.19,2.815,2.37695,1.44619,0.42757,0.54878,0.4992,0.30397,3.045,3.53008,1.23317,0.00130393,0.00130393,0.00130393
13,1463.3,2.52886,2.53152,1.37649,0.3311,0.56098,0.47335,0.16771,3.34248,3.04845,1.34697,0.00127092,0.00127092,0.00127092
14,1573.43,2.7345,2.24327,1.3166,0.47661,0.47062,0.50205,0.22944,3.25601,2.16295,1.29235,0.00123791,0.00123791,0.00123791
15,1683.81,2.78166,2.27263,1.45679,0.67745,0.57317,0.56317,0.27902,2.79745,1.91722,1.14727,0.00120491,0.00120491,0.00120491
16,1794.1,2.69472,2.11302,1.33564,0.43125,0.61585,0.55494,0.29191,2.79768,1.76758,1.17155,0.0011719,0.0011719,0.0011719
17,1904.42,2.49108,2.0249,1.26697,0.41636,0.54793,0.47831,0.16007,3.20427,2.2614,1.30967,0.00113889,0.00113889,0.00113889
18,2016.09,2.72486,2.03394,1.24962,0.99084,0.5,0.50568,0.24776,3.18054,2.25744,1.31463,0.00110589,0.00110589,0.00110589
19,2126.38,2.52119,1.98614,1.32324,0.48091,0.53049,0.50187,0.26567,3.00816,2.55335,1.33571,0.00107288,0.00107288,0.00107288
20,2237.1,2.68184,2.17978,1.26564,0.42308,0.71341,0.48982,0.15405,3.02499,2.39813,1.36898,0.00103987,0.00103987,0.00103987
21,2347.35,2.49617,1.98058,1.36535,0.34084,0.59756,0.38463,0.12126,3.06364,2.52749,1.35762,0.00100687,0.00100687,0.00100687
22,2457.64,2.53352,1.90511,1.25612,0.29176,0.48628,0.35082,0.1222,2.93947,2.29058,1.27443,0.000973861,0.000973861,0.000973861
23,2569.85,2.44862,1.70834,1.18811,0.35001,0.63415,0.4441,0.15865,2.85934,1.98472,1.23164,0.000940855,0.000940855,0.000940855
24,2680.19,2.42566,1.68489,1.29302,0.9136,0.5061,0.59165,0.22787,2.90408,1.91181,1.21322,0.000907848,0.000907848,0.000907848
25,2790.49,2.34509,1.66253,1.19369,0.71229,0.54872,0.57499,0.26465,2.90321,1.96362,1.13627,0.000874842,0.000874842,0.000874842
26,2900.94,2.50226,1.65362,1.19895,0.33924,0.4375,0.4224,0.19413,3.12343,2.38746,1.22898,0.000841835,0.000841835,0.000841835
27,3011.85,2.44371,1.79398,1.2498,0.27918,0.72561,0.44155,0.14004,2.96211,1.984,1.20686,0.000808828,0.000808828,0.000808828
28,3123.06,2.24891,1.85633,1.1628,0.31539,0.73171,0.47496,0.19403,2.90135,1.70463,1.18766,0.000775822,0.000775822,0.000775822
29,3233.38,2.47525,1.67013,1.24464,0.35998,0.68293,0.51791,0.23198,2.78213,1.67834,1.0933,0.000742815,0.000742815,0.000742815
30,3344,2.34487,1.60938,1.18714,0.40116,0.52744,0.45366,0.17967,3.03465,2.05984,1.12292,0.000709809,0.000709809,0.000709809
31,3456.01,2.09372,1.47912,1.08427,0.45103,0.50305,0.48459,0.18964,3.12811,1.79382,1.14833,0.000676802,0.000676802,0.000676802
32,3568.86,2.35965,1.74778,1.12667,0.48526,0.59604,0.52999,0.26112,3.01275,1.51799,1.17485,0.000643795,0.000643795,0.000643795
1,110.443,3.77754,5.25769,1.87183,0.03345,0.25,0.02927,0.00422,4.0714,10.3178,1.79946,0.000545182,0.000545182,0.000545182
1,107.745,3.77754,5.25769,1.87183,0.03345,0.25,0.02927,0.00422,4.0714,10.3178,1.79946,0.000545182,0.000545182,0.000545182
2,220.709,3.40214,4.7294,1.6185,0.00421,0.0625,0.0018,0.00023,4.28164,6.94365,1.75888,0.00107905,0.00107905,0.00107905
3,331.216,3.34307,9.0675,1.69041,0,0,0,0,4.678,85.2132,1.98675,0.00159092,0.00159092,0.00159092
4,440.634,3.27013,4.40294,1.72466,0.50822,0.16463,0.00601,0.00112,3.64917,3.71174,1.79948,0.00156798,0.00156798,0.00156798
5,549.82,3.48217,3.57357,1.82331,0.00278,0.44207,0.03516,0.00552,3.62565,4.00266,1.9002,0.00153497,0.00153497,0.00153497
6,662.721,3.08926,3.74056,1.5966,0.00423,0.5,0.09849,0.01626,4.29642,4.19694,1.51703,0.00150197,0.00150197,0.00150197
7,775.728,3.06209,3.00442,1.65894,0.42518,0.0625,0.08142,0.02569,5.01437,24.2684,3.05196,0.00146896,0.00146896,0.00146896
8,889.328,2.95691,2.58677,1.42412,0.06374,0.125,0.09444,0.02626,3.99979,9.51017,1.84798,0.00143595,0.00143595,0.00143595
9,1002.26,2.98423,2.55731,1.29196,0.81934,0.5,0.42,0.16327,4.01783,8.10538,3.74136,0.00140295,0.00140295,0.00140295
10,1115.07,2.97566,2.71741,1.43523,0.57445,0.0625,0.07262,0.04038,3.45629,6.16668,1.49513,0.00136994,0.00136994,0.00136994
11,1224.17,2.89275,2.52687,1.37676,0.7164,0.28759,0.16514,0.05839,3.29478,2.29241,1.45839,0.00133693,0.00133693,0.00133693
